ID,Language_ID,Parameter_ID,Value,Inventory_ID,SourceLanguageName,SourceLanguageFamily,PhonemeNotes,PhonemeNFD
1,afro1255,55F94F929CDB58CDE9BE8333787E3A31,ʕ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ʕ
2,afro1255,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ʔ
3,afro1255,C699D862DAE3202097065A59720E60BC,ħ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ħ
4,afro1255,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ŋ
5,afro1255,3ED3C12693EEA6DCD866F8DBD9C6CF1D,ŋʷ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ŋʷ
6,afro1255,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ʃ
7,afro1255,72FB536ACFF408163656BBCDAFCAC6F6,a,1061,AFRO-ASIATIC,Afro-Asiatic,NA,a
8,afro1255,2F272C9C5FA2DA70706B565B2DC46DE8,aː,1061,AFRO-ASIATIC,Afro-Asiatic,NA,aː
9,afro1255,694212B746622E482E0E58D50036100E,b,1061,AFRO-ASIATIC,Afro-Asiatic,NA,b
10,afro1255,852A220443D41F0A63671A2F4DEC9788,c,1061,AFRO-ASIATIC,Afro-Asiatic,NA,c
11,afro1255,8624F957F56BDEBB294A22FB14BB353B,cʼ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,cʼ
12,afro1255,E6253384902D489FDB1FE487B7ED4AB2,d,1061,AFRO-ASIATIC,Afro-Asiatic,NA,d
13,afro1255,320B62404207303F61B0F772296C9545,ɟ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɟ
14,afro1255,1E8296F0F7BF5A8ABE9B5E8E040E709F,dɮ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,dɮ
15,afro1255,199408E3D0668F10F475143F0E8CC0CB,e,1061,AFRO-ASIATIC,Afro-Asiatic,NA,e
16,afro1255,6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,1061,AFRO-ASIATIC,Afro-Asiatic,NA,eː
17,afro1255,86E80A7DA80F7F58CA76F85BACA48F86,f,1061,AFRO-ASIATIC,Afro-Asiatic,NA,f
18,afro1255,ECC959553F23387998DAF88D69D7736C,ɡ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɡ
19,afro1255,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɣ
20,afro1255,2C506EAD6B506B116E11D445B865A044,ɣʷ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɣʷ
21,afro1255,B95529318452F7E00AE69C18EBE1E0F2,ɡʷ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɡʷ
22,afro1255,E7FBD92350B3CA8B7B5D77E36A607068,h,1061,AFRO-ASIATIC,Afro-Asiatic,NA,h
23,afro1255,1F0C89A7E99CD5113AA994AD2CC86CBC,ɬ,1061,AFRO-ASIATIC,Afro-Asiatic,NA,ɬ
24,afro1255,F0585BB57111C322D6E7DABB0D01F9EA,i,1061,AFRO-ASIATIC,Afro-Asiatic,NA,i
